INDIC_SB,GEO,SIZEN,time,N_ENTERPRISE
V11110,PL,10_C10_12,2018,3584.0
V11110,PL,10_C10_12,2019,3492.0
V11110,PT,10_C10_12,2005,1455.0
V11110,PT,10_C10_12,2006,1524.0
V11110,PT,10_C10_12,2007,1561.0
V11110,PT,10_C10_12,2008,1538.0
V11110,PT,10_C10_12,2009,1543.0
V11110,PT,10_C10_12,2010,1549.0
V11110,PT,10_C10_12,2011,1566.0
V11110,PT,10_C10_12,2012,1470.0
V11110,PT,10_C10_12,2013,1430.0
V11110,PT,10_C10_12,2014,1420.0
V11110,PT,10_C10_12,2015,1443.0
V11110,PT,10_C10_12,2016,1444.0
V11110,PT,10_C10_12,2017,1434.0
V11110,PT,10_C10_12,2018,1458.0
V11110,PT,10_C10_12,2019,1473.0
V11110,RO,10_C10_12,2005,2085.0
V11110,RO,10_C10_12,2006,2109.0
V11110,RO,10_C10_12,2007,2008.0
V11110,RO,10_C10_12,2008,1873.0
V11110,RO,10_C10_12,2009,1956.0
V11110,RO,10_C10_12,2010,1911.0
V11110,RO,10_C10_12,2011,1951.0
V11110,RO,10_C10_12,2012,1887.0
V11110,RO,10_C10_12,2013,1887.0
V11110,RO,10_C10_12,2014,1820.0
V11110,RO,10_C10_12,2015,1768.0
V11110,RO,10_C10_12,2016,1766.0
V11110,RO,10_C10_12,2017,1780.0
V11110,RO,10_C10_12,2018,1740.0
V11110,RO,10_C10_12,2019,1625.0
V11110,RS,10_C10_12,2016,594.0
V11110,RS,10_C10_12,2017,589.0
V11110,RS,10_C10_12,2018,599.0
V11110,RS,10_C10_12,2019,608.0
V11110,SE,10_C10_12,2005,12.0
V11110,SE,10_C10_12,2006,464.0
V11110,SE,10_C10_12,2007,474.0
V11110,SE,10_C10_12,2008,420.0
V11110,SE,10_C10_12,2009,465.0
V11110,SE,10_C10_12,2010,526.0
V11110,SE,10_C10_12,2011,491.0
V11110,SE,10_C10_12,2012,483.0
V11110,SE,10_C10_12,2013,510.0
V11110,SE,10_C10_12,2014,472.0
V11110,SE,10_C10_12,2015,497.0
V11110,SE,10_C10_12,2016,502.0
V11110,SE,10_C10_12,2017,495.0
V11110,SE,10_C10_12,2018,475.0
V11110,SE,10_C10_12,2019,484.0
V11110,SI,10_C10_12,2005,168.0
V11110,SI,10_C10_12,2006,157.0
V11110,SI,10_C10_12,2007,150.0
V11110,SI,10_C10_12,2008,149.0
V11110,SI,10_C10_12,2009,160.0
V11110,SI,10_C10_12,2010,161.0
V11110,SI,10_C10_12,2011,148.0
V11110,SI,10_C10_12,2012,152.0
V11110,SI,10_C10_12,2013,151.0
V11110,SI,10_C10_12,2014,144.0
V11110,SI,10_C10_12,2015,149.0
V11110,SI,10_C10_12,2016,143.0
V11110,SI,10_C10_12,2017,141.0
V11110,SI,10_C10_12,2018,145.0
V11110,SI,10_C10_12,2019,147.0
V11110,SK,10_C10_12,2005,64.0
V11110,SK,10_C10_12,2006,79.0
V11110,SK,10_C10_12,2007,69.0
V11110,SK,10_C10_12,2008,446.0
V11110,SK,10_C10_12,2009,327.0
V11110,SK,10_C10_12,2010,494.0
V11110,SK,10_C10_12,2011,495.0
V11110,SK,10_C10_12,2012,375.0
V11110,SK,10_C10_12,2013,315.0
V11110,SK,10_C10_12,2014,323.0
V11110,SK,10_C10_12,2015,406.0
V11110,SK,10_C10_12,2016,356.0
V11110,SK,10_C10_12,2017,398.0
V11110,SK,10_C10_12,2018,395.0
V11110,SK,10_C10_12,2019,372.0
V11110,UK,10_C10_12,2006,2079.0
V11110,UK,10_C10_12,2007,923.0
V11110,UK,10_C10_12,2008,1856.0
V11110,UK,10_C10_12,2009,1849.0
V11110,UK,10_C10_12,2010,1834.0
V11110,UK,10_C10_12,2011,1824.0
V11110,UK,10_C10_12,2012,1875.0
V11110,UK,10_C10_12,2013,1836.0
V11110,UK,10_C10_12,2014,1861.0
V11110,UK,10_C10_12,2015,1936.0
V11110,UK,10_C10_12,2016,1952.0
V11110,UK,10_C10_12,2017,2001.0
V11110,UK,10_C10_12,2018,2043.0
V11110,AT,10_C10_18,2005,1917.0
V11110,AT,10_C10_18,2006,1881.0
V11110,AT,10_C10_18,2007,1907.0
V11110,AT,10_C10_18,2008,1851.0
V11110,AT,10_C10_18,2009,1826.0
V11110,AT,10_C10_18,2010,1814.0
V11110,AT,10_C10_18,2011,1769.0
V11110,AT,10_C10_18,2012,1729.0
V11110,AT,10_C10_18,2013,1682.0
V11110,AT,10_C10_18,2014,1682.0
V11110,AT,10_C10_18,2015,1665.0
V11110,AT,10_C10_18,2016,1666.0
V11110,AT,10_C10_18,2017,1657.0
V11110,AT,10_C10_18,2018,1622.0
V11110,AT,10_C10_18,2019,1631.0
V11110,BA,10_C10_18,2011,403.0
V11110,BA,10_C10_18,2012,408.0
V11110,BA,10_C10_18,2013,416.0
V11110,BA,10_C10_18,2014,563.0
V11110,BA,10_C10_18,2015,507.0
V11110,BA,10_C10_18,2016,646.0
V11110,BA,10_C10_18,2017,735.0
V11110,BA,10_C10_18,2018,749.0
V11110,BA,10_C10_18,2019,767.0
V11110,BE,10_C10_18,2005,717.0
V11110,BE,10_C10_18,2006,1374.0
V11110,BE,10_C10_18,2007,468.0
V11110,BE,10_C10_18,2008,1806.0
V11110,BE,10_C10_18,2009,1803.0
V11110,BE,10_C10_18,2010,1639.0
V11110,BE,10_C10_18,2011,1552.0
V11110,BE,10_C10_18,2012,1509.0
V11110,BE,10_C10_18,2013,1518.0
V11110,BE,10_C10_18,2014,1385.0
V11110,BE,10_C10_18,2015,1187.0
V11110,BE,10_C10_18,2016,1172.0
V11110,BE,10_C10_18,2017,1268.0
V11110,BE,10_C10_18,2018,1110.0
V11110,BE,10_C10_18,2019,1150.0
V11110,BG,10_C10_18,2005,3575.0
V11110,BG,10_C10_18,2006,3407.0
V11110,BG,10_C10_18,2007,3473.0
V11110,BG,10_C10_18,2008,3332.0
V11110,BG,10_C10_18,2009,3132.0
V11110,BG,10_C10_18,2010,2853.0
V11110,BG,10_C10_18,2011,2912.0
V11110,BG,10_C10_18,2012,2775.0
V11110,BG,10_C10_18,2013,2750.0
V11110,BG,10_C10_18,2014,2716.0
V11110,BG,10_C10_18,2015,2704.0
V11110,BG,10_C10_18,2016,2697.0
V11110,BG,10_C10_18,2017,2667.0
V11110,BG,10_C10_18,2018,2547.0
V11110,BG,10_C10_18,2019,2496.0
V11110,CH,10_C10_18,2009,1869.0
V11110,CH,10_C10_18,2010,1862.0
V11110,CH,10_C10_18,2011,1837.0
V11110,CH,10_C10_18,2012,1781.0
V11110,CH,10_C10_18,2013,2332.0
V11110,CH,10_C10_18,2014,2391.0
V11110,CH,10_C10_18,2015,2318.0
V11110,CH,10_C10_18,2016,2322.0
V11110,CH,10_C10_18,2017,2288.0
V11110,CH,10_C10_18,2018,2249.0
V11110,CH,10_C10_18,2019,2195.0
V11110,CY,10_C10_18,2005,53.0
V11110,CY,10_C10_18,2006,78.0
V11110,CY,10_C10_18,2007,212.0
V11110,CY,10_C10_18,2008,252.0
V11110,CY,10_C10_18,2009,252.0
V11110,CY,10_C10_18,2010,226.0
V11110,CY,10_C10_18,2011,178.0
V11110,CY,10_C10_18,2012,159.0
V11110,CY,10_C10_18,2013,73.0
V11110,CY,10_C10_18,2014,177.0
V11110,CY,10_C10_18,2015,181.0
V11110,CY,10_C10_18,2016,199.0
V11110,CY,10_C10_18,2017,194.0
V11110,CY,10_C10_18,2018,203.0
V11110,CY,10_C10_18,2019,187.0
V11110,CZ,10_C10_18,2005,2995.0
V11110,CZ,10_C10_18,2006,3017.0
V11110,CZ,10_C10_18,2007,2888.0
V11110,CZ,10_C10_18,2008,2942.0
V11110,CZ,10_C10_18,2009,2832.0
V11110,CZ,10_C10_18,2010,2614.0
V11110,CZ,10_C10_18,2011,2566.0
V11110,CZ,10_C10_18,2012,2443.0
V11110,CZ,10_C10_18,2013,2386.0
V11110,CZ,10_C10_18,2014,2290.0
V11110,CZ,10_C10_18,2015,2308.0
V11110,CZ,10_C10_18,2016,2288.0
V11110,CZ,10_C10_18,2017,2325.0
V11110,CZ,10_C10_18,2018,2311.0
V11110,CZ,10_C10_18,2019,2291.0
V11110,DE,10_C10_18,2005,21614.0
V11110,DE,10_C10_18,2006,7451.0
V11110,DE,10_C10_18,2007,17381.0
V11110,DE,10_C10_18,2008,17746.0
V11110,DE,10_C10_18,2009,15909.0
V11110,DE,10_C10_18,2010,20215.0
V11110,DE,10_C10_18,2011,20513.0
V11110,DE,10_C10_18,2012,18602.0
V11110,DE,10_C10_18,2013,18762.0
V11110,DE,10_C10_18,2014,14530.0
V11110,DE,10_C10_18,2015,16380.0
V11110,DE,10_C10_18,2016,17068.0
V11110,DE,10_C10_18,2017,14789.0
V11110,DE,10_C10_18,2018,16209.0
V11110,DE,10_C10_18,2019,15411.0
V11110,DK,10_C10_18,2005,1052.0
V11110,DK,10_C10_18,2006,1046.0
V11110,DK,10_C10_18,2007,985.0
V11110,DK,10_C10_18,2008,961.0
V11110,DK,10_C10_18,2009,817.0
V11110,DK,10_C10_18,2010,781.0
V11110,DK,10_C10_18,2011,881.0
V11110,DK,10_C10_18,2012,857.0
V11110,DK,10_C10_18,2013,815.0
V11110,DK,10_C10_18,2014,802.0
V11110,DK,10_C10_18,2015,787.0
V11110,DK,10_C10_18,2016,672.0
V11110,DK,10_C10_18,2017,671.0
V11110,DK,10_C10_18,2018,668.0
V11110,DK,10_C10_18,2019,637.0
V11110,EE,10_C10_18,2005,626.0
V11110,EE,10_C10_18,2006,609.0
V11110,EE,10_C10_18,2007,648.0
V11110,EE,10_C10_18,2008,598.0
V11110,EE,10_C10_18,2009,500.0
V11110,EE,10_C10_18,2010,440.0
V11110,EE,10_C10_18,2011,480.0
V11110,EE,10_C10_18,2012,484.0
V11110,EE,10_C10_18,2013,486.0
V11110,EE,10_C10_18,2014,491.0
V11110,EE,10_C10_18,2015,507.0
V11110,EE,10_C10_18,2016,506.0
V11110,EE,10_C10_18,2017,517.0
V11110,EE,10_C10_18,2018,498.0
V11110,EE,10_C10_18,2019,499.0
V11110,EL,10_C10_18,2008,1076.0
V11110,EL,10_C10_18,2009,886.0
V11110,EL,10_C10_18,2010,1039.0
V11110,EL,10_C10_18,2011,1094.0
V11110,EL,10_C10_18,2012,1028.0
V11110,EL,10_C10_18,2013,780.0
V11110,EL,10_C10_18,2014,1699.0
V11110,EL,10_C10_18,2015,1531.0
V11110,EL,10_C10_18,2016,1573.0
V11110,EL,10_C10_18,2017,1764.0
V11110,EL,10_C10_18,2018,2029.0
V11110,EL,10_C10_18,2019,1990.0
V11110,ES,10_C10_18,2005,11898.0
V11110,ES,10_C10_18,2006,10067.0
V11110,ES,10_C10_18,2007,8730.0
V11110,ES,10_C10_18,2008,10204.0
V11110,ES,10_C10_18,2009,8985.0
V11110,ES,10_C10_18,2010,7967.0
V11110,ES,10_C10_18,2011,8294.0
V11110,ES,10_C10_18,2012,7359.0
V11110,ES,10_C10_18,2013,7287.0
